State,County,Democratic,Republican,Party
AZ,apache,1882.768870708951,11876.796920997569,1
AZ,cochise,16727.32373075135,24159.803189442657,0
AZ,coconino,31957.879191817185,26256.941362489182,1
AZ,gila,5886.386195384068,10770.089990626991,0
AZ,graham,1227.3349924983995,8500.976458744844,0
AZ,la paz,740.0126933768006,3898.8112037076517,0
AZ,maricopa,821220.4853859099,673746.0195559454,1
AZ,mohave,12319.201577219577,38627.43398802847,0
AZ,navajo,6378.526272470546,18932.929267291034,0
AZ,pima,203617.35540833845,175996.37233788005,1
AZ,santa cruz,5613.587502685234,6103.54927783146,1
AZ,yavapai,41748.3447905698,46315.90896037333,0
CT,fairfield,311837.7544244519,141179.0174885909,1
CT,hartford,236527.36127105067,140909.3109379734,1
CT,middlesex,51415.86919567324,33834.886020982405,0
CT,new haven,215367.58014644225,141520.58282826908,1
CT,tolland,43235.28171867819,32344.217278466145,1
CT,windham,19889.971783878595,23717.270461957683,1
DE,sussex,36418.471481915294,34499.618357122294,0
FL,alachua,79209.2067035334,41816.70367701624,1
FL,baker,1657.4083532133263,5291.661941349144,0
FL,bay,27803.619044781062,33525.86430372428,0
FL,bradford,72.25736541335937,3967.1364798989,0
FL,brevard,115395.69955566688,108242.99795837593,1
FL,broward,385275.9316620131,243885.6521171183,1
FL,charlotte,28179.078314556536,34798.614704927524,0
FL,citrus,19740.06796783684,27985.884910298468,0
FL,collier,79471.61306790724,52539.086317007226,0
FL,desoto,-1997.4410291875065,3734.046585733584,0
FL,dixie,-105.9633443814455,3556.6001655643086,0
FL,duval,178398.65216725532,123716.03390953998,1
FL,escambia,52230.36997950431,51989.339862689536,0
FL,flagler,19386.387793033668,21571.456845823446,1
FL,franklin,617.1705084836431,2757.0393383885857,0
FL,gadsden,5255.807610511103,2754.166414109979,1
FL,gilchrist,1191.981893711818,4164.965586037308,0
FL,glades,39.79753846264066,2692.9616883913113,0
FL,gulf,489.7261117082744,3444.275637908253,0
FL,hamilton,-577.4288118638651,2207.162515649048,0
FL,hendry,-1936.5628697974535,2032.9852933124093,0
FL,hillsborough,281590.42325668543,198310.76207466485,1
FL,holmes,885.09545538987,3884.638143011338,0
FL,indian river,30020.989383168853,25760.847800969077,0
FL,jackson,210.2684995135278,5762.77452245335,0
FL,lafayette,237.35187206705814,2109.2362723959995,0
